ClassId,PlantName,W1_High_mean,W2_High_mean,W3_High_mean,W4_High_mean,W1_High_max,W2_High_max,W3_High_max,W4_High_max,W1_High_min,W2_High_min,W3_High_min,W4_High_min,W1_High_dif,W2_High_dif,W3_High_dif,W4_High_dif,W1_High_std,W2_High_std,W3_High_std,W4_High_std,W1_Low_mean,W2_Low_mean,W3_Low_mean,W4_Low_mean,W1_Low_max,W2_Low_max,W3_Low_max,W4_Low_max,W1_Low_min,W2_Low_min,W3_Low_min,W4_Low_min,W1_Low_dif,W2_Low_dif,W3_Low_dif,W4_Low_dif,W1_Low_std,W2_Low_std,W3_Low_std,W4_Low_std
A-2-05-L-3,홍콩야자,53.709165687426555,49.5,43.225190839694655,40.37696264212236,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.277348696800143,16.457116497645796,15.811028881187612,14.65775579366803,169.99377203290248,156.6714285714286,136.8111595783352,127.79629128316193,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.519100478443626,52.0880798354059,50.04316125252078,46.39296040091119
A-2-05-L-3,홍콩야자,53.73529411764706,49.5,43.229454545454544,40.37696264212236,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.26906569047751,16.457116497645796,15.81232251039435,14.65775579366803,170.07647058823537,156.6714285714286,136.8246545454546,127.79629128316192,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.492884106051044,52.0880798354059,50.04725569162911,46.3929604009112
A-2-05-L-3,홍콩야자,53.77235294117647,49.51005025125628,43.23372135321935,40.37936636880585,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.254226606049215,16.456211051643827,15.813615823902094,14.659012548400982,170.1937647058824,156.70323841429374,136.83815933066572,127.80389926888711,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.44591722613037,52.08521402694887,50.05134913152504,46.39693812938342
A-2-05-L-3,홍콩야자,53.79858657243816,49.51005025125628,43.229454545454544,40.37936636880585,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.245792572286323,16.456211051643827,15.81232251039435,14.659012548400982,170.27679623085987,156.70323841429374,136.8246545454546,127.80389926888711,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.41922283990306,52.08521402694887,50.04725569162911,46.39693812938342
A-2-05-L-3,홍콩야자,53.8356890459364,49.52011173184358,43.23372135321935,40.38177139761647,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.23076977613308,16.45529839147275,15.813615823902094,14.66026948174718,170.3942285041225,156.73508379888273,136.83815933066572,127.81151137594802,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.37167449779264,52.08232538507407,50.05134913152504,46.40091642318076
A-2-05-L-3,홍콩야자,53.862028301886795,49.52011173184358,43.237991266375545,40.38177139761647,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.22218288655584,16.45529839147275,15.814908820301913,14.66026948174718,170.47759433962267,156.7350837988827,136.8516739446871,127.81151137594804,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.344496310781494,52.08232538507406,50.05544156774922,46.40091642318076
A-2-05-L-3,홍콩야자,53.899174528301884,49.53018446059251,43.24226428831452,40.384177729612574,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.206974806411072,16.454378493587974,15.816201498181321,14.661526593572733,170.59516509433968,156.76696478479602,136.86519839825266,127.81912760769443,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.29636153013283,52.07941383526099,50.05953299583104,46.40489528187941
A-2-05-L-3,홍콩야자,53.925619834710744,49.53018446059251,43.237991266375545,40.384177729612574,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.19823320377446,16.454378493587974,15.814908820301913,14.661526593572733,170.67886658795754,156.76696478479602,136.8516739446871,127.81912760769443,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.26869366400996,52.07941383526099,50.05544156774922,46.40489528187941
A-2-05-L-3,홍콩야자,53.96280991735537,49.54026845637584,43.24226428831452,40.386585365853655,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.18283824181508,16.453451334357002,15.816201498181321,14.662783883743343,170.79657615112166,156.79888143176737,136.86519839825266,127.8267479674797,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.219967387586145,52.0764793027109,50.059532995831034,46.40887470505432
A-2-05-L-3,홍콩야자,53.98936170212766,49.550363738108565,43.24654042243263,40.386585365853655,94.5,94.5,94.5,94.5,31.5,31.5,31.5,31.5,63.0,63.0,63.0,63.0,16.173940039360463,16.452516890058998,15.81749385612428,14.662783883743343,170.88061465721046,156.83083379966428,136.87873270211222,127.8267479674797,299.1,299.1,299.1,299.1,99.7,99.7,99.7,99.7,199.40000000000003,199.40000000000003,199.40000000000003,199.40000000000003,51.19180387061073,52.07352171234545,50.063623411288596,46.40887470505432
